西元年月,博士,碩士,大學,專科,高中,其他學歷,其他營業額,積體電路營業額(億元),光電營業額(億元),電腦及周邊營業額(億元),通訊營業額(億元),精密機械營業額(億元),生物技術營業額(億元),污水處理量(CMD),用水量(CMD),用電負載量(萬KW),平均單價元平方公尺
2018-01,1101,17451,25345,7853,12629,1950,0.86,258.64,190.48,0.49,4.58,26.95,5.88,96474,118429,121.14,46203.98967391688
2018-02,1097,17392,25259,7827,12586,1943,0.82,430.95,138.63,0.31,3.74,21.43,4.74,94150,122400,120.83,46977.731420837714
2018-03,716,14325,26146,9949,13182,1393,0.87,386.85,168.43,0.33,4.92,26.76,6.63,90067,121249,122.16,46467.806849612665
2018-04,719,14224,26010,9886,13094,1405,0.81,405.59,152.94,0.33,4.88,24.27,6.53,91806,124248,122.47,46822.11567157857
2018-05,718,14345,25943,9836,13027,1397,0.84,366.13,190.73,0.37,4.99,29.95,7.73,93399,123614,123.5,46767.40409559309
2018-06,717,14322,26003,9798,12914,1434,0.76,451.73,182.95,0.42,4.17,23.24,6.83,93969,118544,123.5,47488.25510253957
2018-07,719,14363,26047,9848,12926,1444,0.89,366.78,180.77,0.57,4.67,34.04,6.7,93817,121160,123.81,46022.51340869687
2018-08,721,14407,26076,9861,13006,1448,0.86,416.19,179.37,0.5,4.33,28.55,6.78,99871,116038,123.62,45035.15336652035
2018-09,722,14282,25892,9784,12871,1456,0.83,396.54,166.22,0.4,4.13,24.92,6.59,93218,122455,123.35,47146.02638265036
2018-10,730,14500,25906,9803,12728,1472,0.85,428.77,169.41,0.42,4.57,23.9,6.57,93743,120505,123.0,46272.09597560883
2018-11,728,14552,25827,9747,12699,1469,0.83,468.71,164.09,0.4,4.72,25.87,7.63,93140,119345,122.67,46042.77552748732
2018-12,722,14524,25899,9754,12709,1464,0.72,477.65,148.46,0.19,4.73,19.55,6.12,92134,117073,122.67,47039.526558138095
2019-01,726,14577,25783,9651,12619,1458,1.07,288.87,154.59,0.34,4.3,25.14,8.14,91716,114109,122.58,46767.45836691981
2019-02,724,14619,25718,9593,12494,1454,0.89,308.26,128.59,0.14,3.57,20.75,4.87,91224,120885,123.22,46574.89535692643
2019-03,714,14543,25630,9562,12451,1448,0.85,284.95,148.25,0.2,3.25,24.3,7.52,93986,126506,122.23,47390.2230266115
2019-04,726,14724,25842,9602,12481,1459,1.06,381.45,152.22,0.3,4.23,20.67,4.83,99251,133301,122.23,48505.93900863014
2019-05,696,15026,26501,9835,12359,631,0.91,341.35,151.02,0.29,7.69,16.42,6.07,101238,134269,122.01,48412.732469864495
2019-06,698,15063,26602,9862,12400,640,0.91,390.24,141.81,0.67,6.79,20.64,5.91,105086,135895,122.41,48570.38047913767
2019-07,703,15181,26851,9941,12446,625,1.05,368.83,149.31,11.98,9.37,23.11,6.39,112640,137713,122.7,48931.922601511214
2019-08,708,15265,27029,9996,12571,629,1.03,470.72,143.49,14.91,10.64,23.61,6.16,115554,140607,132.01,48786.96436915791
2019-09,715,15283,27019,9981,12563,629,0.97,328.36,147.61,15.56,9.73,20.94,6.01,101913,144731,132.2,50323.26891364735
2019-10,720,15444,27471,10171,12834,626,1.04,432.24,140.2,33.79,11.15,21.98,6.46,105376,146068,132.6,50829.50930642209
2019-11,727,15537,27761,10261,12984,638,1.1,443.44,136.3,33.54,10.75,21.37,6.17,107596,141989,132.3,51567.77065898007
2019-12,734,15517,27766,10265,12997,659,0.88,484.04,152.87,32.7,9.89,32.33,8.87,110979,143644,132.65,50989.03773092423
2020-01,734,15557,28259,10520,12880,672,1.0,316.94,122.26,17.29,7.48,19.62,6.68,109635,142213,140.03,52339.425095081286
2020-02,725,15359,28099,10429,13103,670,1.12,378.0,118.68,16.24,7.95,21.38,6.96,109606,146399,144.09,50975.45139838398
2020-03,716,15477,28352,10490,13170,675,0.86,384.95,146.34,17.06,10.17,24.79,8.06,112440,150688,147.25,52959.20617450623
2020-04,720,15561,28458,10545,13236,671,1.21,414.32,125.27,14.37,12.23,23.49,9.83,112909,156232,148.58,50366.12894334605
2020-05,720,15541,28495,10539,13230,671,1.04,405.01,125.73,12.3,11.19,19.55,11.04,114300,158455,150.79,52509.84524558593
2020-06,727,15582,28524,10552,13226,672,0.9,402.09,139.2,23.18,10.57,20.4,9.55,113575,166292,153.16,53328.16919492272
2020-07,730,15664,28621,10593,13271,675,1.12,466.93,148.24,28.08,10.43,19.61,9.93,119466,167537,155.87,56381.32738995425
2020-08,730,15635,28620,10586,13305,675,1.1,512.15,154.54,25.95,10.08,18.64,8.18,128814,167824,156.87,57760.12935883015
2020-09,737,15738,28935,10658,13422,674,0.99,500.98,157.89,22.66,11.09,25.11,10.1,117719,169693,156.81,57105.11691729324
2020-10,731,15773,29001,10675,13459,682,1.07,410.72,152.56,13.21,10.32,23.66,9.11,117482,165308,156.65,58836.09537480064
2020-11,738,15888,29278,10764,13603,688,1.09,539.8,165.9,9.22,11.78,29.96,9.06,121500,162879,156.75,56683.62246277029
2020-12,736,16034,29634,10756,13606,657,0.96,730.95,180.94,5.83,14.0,23.5,11.14,122078,162809,157.44,55184.36842105263
2021-01,738,16080,29710,10792,13672,666,1.14,499.16,162.25,5.51,9.46,18.9,9.77,122410,162809,158.9,56904.00706001009
2021-02,734,16145,29837,10835,13727,669,1.1,531.27,155.43,3.65,8.8,15.39,9.79,121932,161710,161.5,58411.47667540453
2021-03,727,16163,29858,10831,13716,669,0.99,518.98,193.09,7.89,12.31,30.55,10.32,115204,156182,161.71,56757.51635720601
2021-04,738,16219,30071,10873,13766,673,1.3,501.23,171.88,5.5,13.04,21.63,9.52,113954,159180,162.49,57172.72544321993
2021-05,743,16119,30032,10811,13703,714,1.16,662.66,185.14,4.99,13.0,23.26,10.41,112627,162662,163.48,57505.01549529607
2021-06,709,16225,30105,10841,13750,738,1.16,470.56,184.21,4.55,12.83,23.77,9.57,120992,157990,165.08,56209.06968390805
2021-07,748,16992,30462,10719,13697,748,1.29,590.14,180.98,8.28,13.26,27.2,9.61,126136,172922,165.92,57964.272268419336
2021-08,723,19225,30456,9801,12871,723,1.25,728.78,178.7,6.2,13.95,29.32,8.11,127939,175578,166.03,62128.69310710105
2021-09,732,19345,30526,9769,12793,784,1.21,604.92,174.68,6.4,14.39,24.82,7.14,128268,185518,168.63,65062.24187508904
2021-10,730,19295,30496,9733,12743,790,1.4,705.17,158.39,4.98,17.61,29.23,10.02,136096,193210,172.74,64761.47688627817
2021-11,759,20147,30774,9541,12451,752,1.38,762.78,162.28,7.2,16.53,34.45,10.8,139879,192665,173.98,65292.542704152285
2021-12,756,20316,30931,9567,12484,748,1.36,971.13,174.04,7.12,21.22,32.91,10.25,139795,188889,174.88,64149.7324165052
2022-01,777,20804,31070,9504,12536,739,1.68,756.13,151.41,7.81,13.7,23.69,8.55,145763,191920,183.7,66866.63650075415
2022-02,776,20778,31012,9482,12517,746,1.56,756.05,135.47,6.05,10.95,23.67,7.12,141454,192087,185.04,67442.38502673797
2022-03,813,21767,32479,9917,13136,781,1.51,827.15,161.57,7.83,16.24,30.13,9.33,146721,197809,187.77,65829.20762260568
2022-04,805,22017,32899,9949,13223,765,1.84,797.89,133.01,7.59,14.56,26.58,8.17,144789,203326,190.02,66208.1008064516
2022-05,807,22311,33410,10041,13383,767,1.71,913.62,135.24,7.95,9.9,33.12,9.84,150218,210890,194.09,66763.76951905059
2022-06,828,22572,33480,10015,13280,1048,1.8,958.77,125.88,8.65,16.05,35.42,9.43,155445,218077,201.14,70427.84688995215
2022-07,831,22863,34104,10050,13339,1053,2.01,946.68,118.14,7.17,19.77,32.29,8.98,161075,224270,203.03,68953.97133105803
2022-08,817,22935,34213,10040,13415,1081,2.2,973.19,125.82,8.47,17.81,33.21,8.59,169271,220348,202.06,70139.75414781297
2022-09,809,23160,34238,9995,13256,1081,2.07,1168.52,114.04,10.91,20.34,32.94,8.63,182394,224268,202.45,69389.74204382418
2022-10,791,23143,34499,9841,13080,1063,2.27,1114.27,116.92,11.26,21.96,29.51,8.2,175936,229285,203.62,68525.9307502061
2022-11,803,23001,34395,9699,12959,1057,2.26,1114.4,119.51,6.13,21.67,26.59,9.28,183750,228520,210.31,64905.97142857143
2022-12,801,24065,33985,9315,12780,768,2.19,1576.77,114.65,5.26,27.92,27.56,11.49,180812,219745,210.55,66180.68618266979
2023-01,791,24320,33952,9248,12478,767,2.15,873.38,93.17,3.53,10.62,19.73,6.21,172166,207308,217.8,68594.43159203981
2023-02,756,24569,33727,9174,12337,764,2.93,1168.3,93.25,6.13,15.7,21.48,7.0,178008,201341,218.29,65144.9214527027
2023-03,761,24471,33577,9137,12313,745,2.45,1054.8,127.93,3.13,18.5,38.62,8.72,179410,202754,220.93,71285.22113467395
2023-04,749,24352,33447,9047,12237,725,2.9,673.81,109.86,2.64,16.78,28.21,7.4,165396,195898,224.85,74730.48491497531
2023-05,759,24447,33525,9062,12244,727,2.96,851.51,124.47,4.32,22.11,36.99,8.64,169245,188273,227.89,72932.84339509862
2023-06,759,24456,33570,9065,12224,719,3.02,828.49,127.11,2.82,27.69,34.28,8.96,175321,195179,230.21,77380.07822757111
2023-07,753,24473,33731,9088,12164,720,3.12,1010.74,122.97,7.35,33.71,26.99,6.09,182335,207624,233.63,71204.04615384615
2023-08,758,24113,33968,9016,12089,702,3.3,1016.62,135.6,7.94,40.65,29.95,7.98,182183,202677,233.9,71381.37848297214
2023-09,759,24162,34059,9015,12101,687,4.79,1048.56,121.39,13.0,37.36,29.84,8.48,182098,200231,233.9,71272.29624824684
2023-10,758,24104,34096,8984,12032,669,3.61,1249.6,125.38,15.23,32.39,40.58,8.63,177155,193178,233.47,73014.49134948097
2023-11,758,24088,34076,9005,12028,661,3.57,1507.96,116.46,20.22,35.73,30.28,8.36,180786,187951,232.88,70728.64285714286
